PLAYER_NAME,PTS,REB,AST,MIN,TeamID,team_abbv
Jayson Tatum,28.11764705882353,8.882352941176471,4.0588235294117645,37.11764705882353,1610612738,BOS
Jrue Holiday,12.266666666666667,7.4,4.866666666666666,34.6,1610612738,BOS
Jaylen Brown,21.375,4.8125,3.4375,34.375,1610612738,BOS
Kristaps Porzingis,18.933333333333334,6.666666666666667,1.8666666666666667,30.266666666666666,1610612738,BOS
Derrick White,13.857142857142858,3.7857142857142856,5.0,32.42857142857143,1610612738,BOS
Payton Pritchard,6.0588235294117645,3.1176470588235294,2.8823529411764706,20.352941176470587,1610612738,BOS
Oshae Brissett,1.75,2.625,0.375,11.25,1610612738,BOS
Sam Hauser,9.705882352941176,3.0,0.7647058823529411,22.88235294117647,1610612738,BOS
Luke Kornet,4.666666666666667,3.5833333333333335,0.5833333333333334,13.166666666666666,1610612738,BOS
Al Horford,6.266666666666667,6.466666666666667,2.533333333333333,25.733333333333334,1610612738,BOS
Dalano Banton,3.2857142857142856,2.2857142857142856,0.42857142857142855,8.0,1610612738,BOS
Svi Mykhailiuk,2.2857142857142856,0.7142857142857143,0.14285714285714285,8.285714285714286,1610612738,BOS
Lamar Stevens,1.8,1.2,0.4,4.2,1610612738,BOS
Neemias Queta,3.5,6.0,0.0,10.0,1610612738,BOS
