PLAYER_NAME,PTS,REB,AST,MIN,TeamID,team_abbv
Damian Lillard,25.6,4.466666666666667,6.266666666666667,34.2,1610612749,MIL
MarJon Beauchamp,5.846153846153846,2.3076923076923075,1.0,16.23076923076923,1610612749,MIL
Malik Beasley,10.882352941176471,4.294117647058823,1.3529411764705883,27.352941176470587,1610612749,MIL
Chris Livingston,2.5,0.0,0.5,5.0,1610612749,MIL
Bobby Portis,11.823529411764707,6.588235294117647,1.2941176470588236,23.764705882352942,1610612749,MIL
Brook Lopez,13.294117647058824,5.176470588235294,1.1176470588235294,28.941176470588236,1610612749,MIL
Marques Bolden,0.0,2.0,0.0,3.0,1610612749,MIL
Cameron Payne,6.117647058823529,1.3529411764705883,2.411764705882353,17.294117647058822,1610612749,MIL
AJ Green,3.1,0.8,0.8,8.0,1610612749,MIL
Khris Middleton,11.615384615384615,3.923076923076923,4.153846153846154,19.846153846153847,1610612749,MIL
TyTy Washington Jr.,1.5,0.5,0.0,2.5,1610612749,MIL
Pat Connaughton,5.705882352941177,3.6470588235294117,2.0588235294117645,23.647058823529413,1610612749,MIL
Lindell Wigginton,0.0,0.0,0.0,2.0,1610612749,MIL
Giannis Antetokounmpo,29.875,10.625,4.625,33.625,1610612749,MIL
Robin Lopez,0.6666666666666666,0.0,0.3333333333333333,3.0,1610612749,MIL
Thanasis Antetokounmpo,0.8571428571428571,0.5714285714285714,0.5714285714285714,6.428571428571429,1610612749,MIL
Andre Jackson Jr.,1.8461538461538463,1.3846153846153846,0.7692307692307693,8.923076923076923,1610612749,MIL
Jae Crowder,8.11111111111111,3.888888888888889,1.6666666666666667,26.666666666666668,1610612749,MIL
