PLAYER_NAME,PTS,REB,AST,MIN,TeamID,team_abbv
Tyrese Maxey,26.647058823529413,4.823529411764706,6.882352941176471,38.35294117647059,1610612755,PHI
KJ Martin,1.5555555555555556,0.8888888888888888,0.2222222222222222,6.111111111111111,1610612755,PHI
Marcus Morris Sr.,4.0,1.5,0.3,10.0,1610612755,PHI
Mo Bamba,2.5714285714285716,1.5714285714285714,0.0,3.2857142857142856,1610612755,PHI
De'Anthony Melton,12.117647058823529,4.0588235294117645,3.6470588235294117,29.823529411764707,1610612755,PHI
Kelly Oubre Jr.,16.25,5.125,0.625,29.0,1610612755,PHI
Jaden Springer,3.1818181818181817,2.0,0.9090909090909091,11.636363636363637,1610612755,PHI
Tobias Harris,18.58823529411765,6.235294117647059,2.7058823529411766,35.411764705882355,1610612755,PHI
Joel Embiid,32.0,11.25,6.625,34.5,1610612755,PHI
Patrick Beverley,2.8823529411764706,3.0588235294117645,2.0,16.823529411764707,1610612755,PHI
Danuel House Jr.,3.8,1.4,0.8,12.7,1610612755,PHI
Furkan Korkmaz,2.5833333333333335,0.5833333333333334,0.5,7.25,1610612755,PHI
Robert Covington,4.294117647058823,3.3529411764705883,0.9411764705882353,17.294117647058822,1610612755,PHI
Nicolas Batum,6.166666666666667,3.9166666666666665,1.75,24.333333333333332,1610612755,PHI
Paul Reed,4.764705882352941,4.411764705882353,0.8235294117647058,13.705882352941176,1610612755,PHI
